price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:21.436238+00:00,jumia,vetements,183.0,183.0,183.0,183.0,2
2026-03-30 10:27:21.438238+00:00,jumia,vetements,129.0,129.0,129.0,129.0,2
2026-03-30 10:27:21.439241+00:00,jumia,vetements,72.0,72.0,72.0,72.0,2
2026-03-30 10:27:22.070133+00:00,jumia,smartphones,145.0,145.0,145.0,145.0,2
2026-03-30 10:27:22.073892+00:00,jumia,smartphones,449.0,449.0,449.0,449.0,2
2026-03-30 10:27:22.077168+00:00,jumia,smartphones,799.0,799.0,799.0,799.0,2
2026-03-30 10:27:22.081493+00:00,jumia,smartphones,799.0,799.0,799.0,799.0,2
2026-03-30 10:27:22.085250+00:00,jumia,smartphones,39.0,39.0,39.0,39.0,2
2026-03-30 10:27:22.090203+00:00,jumia,smartphones,39.0,39.0,39.0,39.0,2
2026-03-30 10:27:22.094330+00:00,jumia,smartphones,799.0,799.0,799.0,799.0,2
2026-03-30 10:27:22.099407+00:00,jumia,smartphones,1549.0,1549.0,1549.0,1549.0,2
2026-03-30 10:27:22.106626+00:00,jumia,smartphones,169.0,169.0,169.0,169.0,2
2026-03-30 10:27:22.112532+00:00,jumia,smartphones,139.0,139.0,139.0,139.0,2
2026-03-30 10:27:22.117744+00:00,jumia,smartphones,4899.0,4899.0,4899.0,4899.0,2
2026-03-30 10:27:22.124235+00:00,jumia,smartphones,109.0,109.0,109.0,109.0,1
2026-03-30 10:27:22.129586+00:00,jumia,smartphones,499.0,499.0,499.0,499.0,2
2026-03-30 10:27:22.133612+00:00,jumia,smartphones,2039.0,2039.0,2039.0,2039.0,1
2026-03-30 10:27:22.138162+00:00,jumia,smartphones,799.0,799.0,799.0,799.0,1
2026-03-30 10:27:22.140383+00:00,jumia,smartphones,219.0,219.0,219.0,219.0,2
2026-03-30 10:27:22.147705+00:00,jumia,smartphones,55.0,55.0,55.0,55.0,2
2026-03-30 10:27:22.151709+00:00,jumia,smartphones,89.0,89.0,89.0,89.0,2
2026-03-30 10:27:22.156277+00:00,jumia,smartphones,103.0,103.0,103.0,103.0,2
2026-03-30 10:27:22.160983+00:00,jumia,smartphones,110.67,110.67,110.67,110.67,2
2026-03-30 10:27:22.163058+00:00,jumia,smartphones,149.0,149.0,149.0,149.0,2
2026-03-30 10:27:22.166339+00:00,jumia,smartphones,249.0,249.0,249.0,249.0,2
2026-03-30 10:27:22.168324+00:00,jumia,smartphones,290.0,290.0,290.0,290.0,2
2026-03-30 10:27:22.170088+00:00,jumia,smartphones,86.0,86.0,86.0,86.0,2
2026-03-30 10:27:22.172627+00:00,jumia,smartphones,138.0,138.0,138.0,138.0,2
2026-03-30 10:27:22.174161+00:00,jumia,smartphones,49.0,49.0,49.0,49.0,2
2026-03-30 10:27:22.175157+00:00,jumia,smartphones,144.0,144.0,144.0,144.0,2
