name,price,category,source,url,scraped_at,source_label
Mini Pc EliteDesk 800 G3 i5 6éme génération 8Go 256Go SSD - REMIS A NEUF,1384.72,laptops,jumia,,2026-06-12T15:18:04.460025,
"EliteBook 840 G5 - Intel Core i5 - 16Go RAM - 256Go SSD - 14"" Full HD TACTILE- Cartable Gratuit - G",3198.62,laptops,jumia,,2026-06-12T15:18:11.693272,
ProDesk 600 G1 Tour i5-4590 3.3Ghz - 8Go Ram - 256Go SSD - Remis A Neuf,967.79,laptops,jumia,,2026-06-12T15:18:15.661078,
Power Bank 3 20000MAH 18W Fast Charge Entrée Micro USB/USB Type-C,197.18,smartphones,jumia,,2026-06-12T15:18:22.730435,
Asus strix 17 i7-9750H 2020 Nvidia Gtx 1650 3D 512Go 16Go RAM,4776.56,laptops,micromagma,,2026-06-12T15:18:28.091197,
"Samsung Galaxy S23, 256Go 8Go RAM | PRIX",3161.44,smartphones,micromagma,,2026-06-12T15:18:56.729295,
Telephones E201 sans fil numerique -Mains Libre Haut Parleur-Blocage d'appel fibre ADSL COMPATIBLE,287.79,smartphones,jumia,,2026-06-12T15:18:59.089335,
Pantalon Jean,178.69,vetements,jumia,,2026-06-12T15:19:06.424386,
Samsung Galaxy A56 256Go 8Go RAM | PRIX,3331.79,smartphones,micromagma,,2026-06-12T15:19:08.335109,
ASUS VIVOBOOK S5406SA-QD240W Ultra 7-256V 14 pouces 1To 16Go RAM 90NB15R2-M00H60 | PRIX,14594.86,laptops,micromagma,,2026-06-12T15:19:26.150598,
Google Pixel 10 256Go 12Go RAM – Prix,6882.45,smartphones,micromagma,,2026-06-12T15:19:30.232890,
PC PORTABLE Thinkpad T480S Core i5-8ème Génération-RAM 8GB -5256SSD-AZERTY- TACTILE-GARANTIE 6 MOIS,2634.0,laptops,jumia,,2026-06-12T15:19:31.491091,
OnePlus Nord 5 512Go 12Go RAM | PRIX,4153.0,smartphones,micromagma,,2026-06-12T15:19:33.309375,
Débardeur Pour Femmes - Noir,107.89,vetements,jumia,,2026-06-12T15:19:38.692109,
Huawei Pura 80 Pro 512Go 12Go RAM | PRIX,9601.95,smartphones,micromagma,,2026-06-12T15:19:44.434528,
Apple iPhone 11 256 Go | PRIX,3255.58,smartphones,micromagma,,2026-06-12T15:20:06.150833,
65 Smart TV UHD 4K Google Assistant Bluetooth HDR 10 HLG Dolby Vision + Support Mural,5761.8,tv,jumia,,2026-06-12T15:20:08.467006,
Woman Regular Fit Shirt Neck Long Sleeve Knitted Dress - Beige.,100.09,vetements,jumia,,2026-06-12T15:20:08.828897,
"OPTIPLEX 7010 SFF CORE I5-3470 8Go / 500Go + PHILIPS 22"" 220B2 (REMIS À NEUF)",1152.29,laptops,jumia,,2026-06-12T15:20:25.406942,
"Optiplex 3020 MT Intel Celeron @ 2.7GHz - RAM 4Go , HDD 250Go (Remis à Neuf)",393.01,laptops,jumia,,2026-06-12T15:20:28.924919,
Pack MINI PC Bureau Complet – Core Intel - 8Go RAM - 256 Go SSD - Écran 19” - clavier et souris grat,1908.21,laptops,jumia,,2026-06-12T15:20:32.671583,
"leggings thermiques d'hiver pour Femmes,Dames Décontractées Hiver Perle Velours 220G Haute Élastique",135.22,vetements,jumia,,2026-06-12T15:20:46.713525,
MacBook Air M4 13.6“ 16Go RAM 256Go SSD CPU 10C GPU 8C QWERTY Espagnol,12358.11,laptops,jumia,,2026-06-12T15:20:49.961785,
Woman Regular Fit Bike Neck Long Sleeve Knitted Sweat Tunic - Green.,74.49,vetements,jumia,,2026-06-12T15:20:58.254082,
Apple MacBook Air 2022 M2 1To 24Go RAM | PRIX,20656.69,laptops,micromagma,,2026-06-12T15:21:04.593948,
"LENOVO ThinkPad X270 i5-6200U 12,5 pouces 256Go 8Go RAM – Prix",1745.72,laptops,micromagma,,2026-06-12T15:21:08.234340,
Casque Originale bluetooth Q1 Appel-lecteur Micro SD / TF-radio FM,79.71,smartphones,jumia,,2026-06-12T15:21:13.999944,
Infinix Hot 60i 128Go 6Go RAM | Prix,1127.64,smartphones,micromagma,,2026-06-12T15:21:15.840289,
32 Android TV™ 2025 Abonnent IP Station 12 Mois- Google Assistant™ Bluetooth™ Dolby Audio™,1628.79,tv,jumia,,2026-06-12T15:21:39.263100,
Samsung Galaxy A53 5G 128Go 8Go RAM | PRIX,1679.1,smartphones,micromagma,,2026-06-12T15:21:44.678918,
